filename,terrain_class,fe_percent,mg_percent,ti_percent,si_percent,moisture_level,notes
PCAML-C-001_SCI_N_20131221194504_0005_A_2A.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
PCAML-C-001_SCI_N_20131224185403_0006_A_2A.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
PCAML-C-001_SCI_N_20131224185403_0006_A_2C.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
PCAML-C-001_SCI_N_20140112131151_0007_A_2A.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
PCAML-C-001_SCI_N_20140112131151_0007_A_2C.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
PCAML-C-001_SCI_N_20140113190040_0008_A_2A.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
PCAML-C-001_SCI_N_20140113190040_0008_A_2C.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
PCAML-C-002_SCI_N_20131221195107_0005_A_2A.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
PCAML-C-002_SCI_N_20131224185505_0006_A_2A.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
PCAML-C-002_SCI_N_20131224185505_0006_A_2C.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
PCAML-C-002_SCI_N_20140112131253_0007_A_2A.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
PCAML-C-002_SCI_N_20140112131253_0007_A_2C.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
PCAML-C-002_SCI_N_20140113190142_0008_A_2A.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
PCAML-C-002_SCI_N_20140113190142_0008_A_2C.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
PCAML-C-003_SCI_N_20131221195407_0005_A_2A.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
PCAML-C-003_SCI_N_20131224185608_0006_A_2A.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
PCAML-C-003_SCI_N_20131224185608_0006_A_2C.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
PCAML-C-003_SCI_N_20140112131356_0007_A_2A.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
PCAML-C-003_SCI_N_20140112131356_0007_A_2C.png,regolith,8.5,4.2,1.3,45.2,none,Synthetic label - replace with real data
